# x_m,y_m,w_tr_right_m,w_tr_left_m
243.66,173.32,4.739,3.8877
244.14,174.21,4.7357,3.8851
244.61,175.09,4.7323,3.8818
245.09,175.97,4.7294,3.879
245.56,176.85,4.7277,3.8769
246.03,177.73,4.7274,3.8749
246.51,178.62,4.7274,3.8715
246.98,179.5,4.7261,3.868
247.45,180.38,4.7247,3.8629
247.92,181.27,4.7217,3.8556
248.39,182.15,4.7183,3.8471
248.86,183.03,4.7148,3.8396
249.33,183.92,4.7106,3.8324
249.79,184.8,4.7075,3.8262
250.26,185.69,4.7048,3.8199
250.73,186.57,4.6991,3.8115
251.19,187.46,4.6916,3.8019
251.65,188.34,4.6821,3.7897
252.11,189.23,4.6719,3.7782
252.57,190.12,4.6606,3.7671
253.03,191,4.6518,3.7596
253.49,191.89,4.6457,3.7538
253.94,192.78,4.6399,3.7449
254.39,193.67,4.6369,3.7338
254.84,194.56,4.6382,3.7235
255.28,195.45,4.6449,3.7104
255.72,196.35,4.6546,3.693
256.16,197.24,4.6666,3.6707
256.59,198.14,4.6838,3.644
257.02,199.04,4.7037,3.6145
257.44,199.94,4.7249,3.5825
257.85,200.85,4.7553,3.5471
258.25,201.76,4.7891,3.5116
258.64,202.67,4.8224,3.4732
259.01,203.58,4.8661,3.4301
259.38,204.5,4.9151,3.3829
259.73,205.42,4.9636,3.3338
260.06,206.35,5.012,3.2832
260.38,207.28,5.0655,3.2267
260.67,208.21,5.1184,3.1713
260.94,209.15,5.1747,3.117
261.19,210.08,5.231,3.0618
261.41,211.03,5.2852,3.0145
261.61,211.97,5.3402,2.9778
261.78,212.92,5.3941,2.9496
261.91,213.86,5.4424,2.9334
262.01,214.81,5.4896,2.9282
262.08,215.76,5.5365,2.9331
262.11,216.71,5.5877,2.9451
262.11,217.65,5.6425,2.962
262.06,218.59,5.6958,2.9831
261.98,219.52,5.7468,3.0138
261.86,220.45,5.7866,3.0503
261.7,221.37,5.8064,3.0979
261.5,222.28,5.8102,3.1481
261.25,223.18,5.7991,3.1931
260.97,224.06,5.7804,3.2496
260.65,224.93,5.7749,3.3081
260.28,225.78,5.7735,3.3663
259.88,226.62,5.7669,3.4206
259.43,227.43,5.7593,3.4757
258.95,228.22,5.7567,3.5277
258.44,228.98,5.7613,3.5723
257.88,229.73,5.7701,3.6077
257.29,230.44,5.7834,3.6366
256.67,231.12,5.8094,3.6598
256.02,231.78,5.8448,3.6763
255.33,232.4,5.8886,3.6889
254.62,233,5.9332,3.6918
253.88,233.55,5.9669,3.692
253.11,234.08,5.9914,3.6882
252.32,234.57,5.9971,3.684
251.5,235.02,5.9909,3.6761
250.67,235.44,5.9693,3.6698
249.81,235.83,5.9311,3.6579
248.94,236.18,5.8933,3.6472
248.04,236.49,5.8496,3.6346
247.14,236.77,5.8018,3.6194
246.22,237.01,5.752,3.6063
245.29,237.22,5.6953,3.5945
244.35,237.39,5.6342,3.5889
243.4,237.54,5.5885,3.5904
242.45,237.65,5.5665,3.6024
241.49,237.73,5.5652,3.627
240.52,237.78,5.5753,3.6612
239.55,237.81,5.593,3.7072
238.58,237.8,5.6161,3.7702
237.6,237.78,5.6393,3.8457
236.63,237.72,5.6595,3.9247
235.65,237.64,5.6781,4.003
234.67,237.54,5.6972,4.079
233.69,237.42,5.7166,4.1493
232.72,237.28,5.7358,4.2089
231.75,237.12,5.7527,4.2599
230.77,236.94,5.7646,4.3033
229.8,236.74,5.7707,4.3389
228.83,236.53,5.7718,4.3675
227.87,236.3,5.7657,4.3878
226.9,236.06,5.7525,4.4018
225.94,235.81,5.7334,4.4118
224.98,235.54,5.7085,4.4163
224.02,235.26,5.6778,4.4147
223.07,234.97,5.6455,4.4084
222.11,234.67,5.6153,4.3999
221.16,234.36,5.5922,4.3893
220.22,234.04,5.5787,4.3785
219.27,233.71,5.5708,4.3682
218.33,233.38,5.5604,4.3582
217.39,233.03,5.5498,4.3473
216.46,232.68,5.5405,4.3375
215.52,232.32,5.5364,4.331
214.59,231.95,5.5357,4.3271
213.66,231.57,5.5369,4.3274
212.74,231.19,5.5404,4.3308
211.82,230.8,5.5442,4.3357
210.9,230.4,5.5512,4.3403
209.99,229.99,5.5606,4.3427
209.07,229.58,5.5735,4.3429
208.17,229.17,5.5897,4.3426
207.26,228.74,5.6062,4.341
206.36,228.31,5.6252,4.3383
205.46,227.87,5.6472,4.3343
204.57,227.43,5.6713,4.3297
203.68,226.97,5.6945,4.3248
202.79,226.52,5.716,4.3199
201.91,226.05,5.7356,4.3155
201.03,225.58,5.7539,4.3115
200.16,225.1,5.7709,4.3073
199.29,224.61,5.7858,4.3051
198.43,224.11,5.7986,4.3044
197.57,223.61,5.8082,4.3047
196.71,223.1,5.8149,4.3088
195.86,222.58,5.8199,4.3139
195.01,222.06,5.8222,4.3195
194.17,221.53,5.8202,4.3269
193.33,220.99,5.8147,4.3351
192.49,220.45,5.8036,4.3446
191.66,219.9,5.7908,4.3562
190.83,219.35,5.7795,4.3695
190.01,218.79,5.7666,4.3842
189.19,218.22,5.7509,4.4013
188.37,217.65,5.7342,4.421
187.55,217.07,5.7223,4.4426
186.74,216.49,5.7154,4.465
185.94,215.9,5.7133,4.4889
185.13,215.31,5.7238,4.5123
184.33,214.72,5.744,4.5351
183.53,214.12,5.7719,4.5567
182.73,213.52,5.8014,4.579
181.93,212.92,5.82,4.6018
181.14,212.31,5.8315,4.6243
180.35,211.7,5.8359,4.6468
179.56,211.09,5.8466,4.6695
178.78,210.47,5.8646,4.6927
