# x_m,y_m,w_tr_right_m,w_tr_left_m
55.922,80.86,6.0052,4.8157
55.328,80.057,6.008,4.817
54.737,79.251,6.0085,4.8157
54.149,78.444,6.0057,4.8134
53.563,77.635,5.9994,4.8095
52.979,76.824,5.9888,4.8035
52.398,76.012,5.9725,4.797
51.819,75.197,5.9511,4.79
51.242,74.381,5.9257,4.7805
50.667,73.564,5.8969,4.7697
50.094,72.744,5.8664,4.7581
49.522,71.924,5.8321,4.7461
48.952,71.103,5.797,4.7341
48.384,70.28,5.7598,4.7218
47.817,69.457,5.7196,4.7099
47.25,68.633,5.6805,4.6987
46.685,67.809,5.6388,4.6892
46.12,66.985,5.6029,4.6812
45.556,66.161,5.5723,4.6743
44.993,65.337,5.5435,4.6682
44.43,64.514,5.5226,4.6644
43.867,63.69,5.5174,4.6632
43.304,62.867,5.5215,4.6643
42.742,62.044,5.53,4.6679
42.179,61.221,5.5454,4.674
41.617,60.398,5.5665,4.6825
41.054,59.575,5.5885,4.6932
40.492,58.752,5.6149,4.7059
39.929,57.928,5.6486,4.7203
39.367,57.104,5.6851,4.7362
38.804,56.279,5.7242,4.7549
38.243,55.453,5.7641,4.7739
37.681,54.627,5.8036,4.7946
37.12,53.799,5.8431,4.818
36.561,52.97,5.8795,4.8411
36.002,52.14,5.915,4.8639
35.444,51.309,5.9521,4.8863
34.888,50.476,5.987,4.908
34.334,49.642,6.0179,4.9297
33.781,48.806,6.0475,4.9463
33.23,47.969,6.0752,4.9616
32.682,47.131,6.099,4.9762
32.136,46.291,6.1201,4.9901
31.592,45.45,6.1354,5.0032
31.051,44.608,6.1444,5.0159
30.512,43.765,6.1512,5.0271
29.977,42.921,6.1549,5.0372
29.444,42.075,6.1581,5.0477
28.913,41.228,6.1583,5.0579
28.386,40.381,6.1551,5.067
27.861,39.532,6.1523,5.0741
27.339,38.682,6.1495,5.0795
26.819,37.831,6.1461,5.0851
26.302,36.979,6.1419,5.0899
25.788,36.125,6.1369,5.0939
25.276,35.271,6.1335,5.097
24.765,34.414,6.1309,5.0997
24.257,33.557,6.1292,5.1014
23.751,32.697,6.1268,5.1019
23.247,31.836,6.1243,5.1017
22.745,30.973,6.1205,5.1013
22.244,30.109,6.1176,5.1021
21.745,29.242,6.1152,5.1047
21.248,28.374,6.113,5.1075
20.753,27.504,6.1096,5.1102
20.259,26.633,6.1076,5.1133
19.767,25.76,6.1093,5.1172
19.277,24.886,6.1117,5.1201
18.789,24.01,6.115,5.1247
18.303,23.134,6.1204,5.1308
17.819,22.257,6.1294,5.1365
17.337,21.379,6.1346,5.1423
16.858,20.501,6.1394,5.1488
16.381,19.622,6.1446,5.1553
15.906,18.743,6.149,5.1615
15.434,17.864,6.1517,5.1688
14.964,16.985,6.1538,5.1765
14.497,16.105,6.1586,5.1838
14.031,15.225,6.1594,5.1936
13.568,14.345,6.1593,5.2051
13.108,13.464,6.1627,5.2169
12.649,12.583,6.1683,5.2301
12.192,11.701,6.1733,5.2435
11.737,10.818,6.1797,5.2571
11.284,9.9342,6.1868,5.2704
10.832,9.0491,6.1931,5.2844
10.381,8.1627,6.2041,5.298
9.9324,7.2748,6.2153,5.3108
9.4848,6.3854,6.2251,5.3234
9.0384,5.4944,6.2358,5.3349
8.5933,4.6018,6.2494,5.3464
8.1494,3.7075,6.2619,5.3584
7.7069,2.8114,6.2731,5.3701
7.2656,1.9138,6.2877,5.3822
6.8256,1.0145,6.3061,5.3957
6.387,0.11367,6.3135,5.4091
5.9499,-0.78858,6.322,5.4224
5.5142,-1.6921,6.3467,5.4353
5.0802,-2.5969,6.3622,5.4478
4.6477,-3.5026,6.371,5.4606
4.217,-4.4093,6.3932,5.4724
3.7879,-5.3166,6.4062,5.4844
3.3606,-6.2245,6.4291,5.4975
2.9351,-7.1327,6.4493,5.5089
2.5113,-8.0412,6.4627,5.52
2.0893,-8.9497,6.4544,5.5309
1.6689,-9.8582,6.4167,5.5421
1.2503,-10.767,6.3568,5.5532
0.83324,-11.675,6.3025,5.5646
0.41776,-12.583,6.3237,5.5774
0.0037685,-13.491,6.3484,5.5898
-0.40878,-14.4,6.3732,5.6034
-0.81994,-15.308,6.3979,5.6173
-1.2298,-16.217,6.4221,5.6321
-1.6382,-17.126,6.4526,5.6466
-2.0454,-18.035,6.4867,5.6608
-2.4512,-18.946,6.5207,5.676
-2.8557,-19.857,6.5494,5.6912
-3.2587,-20.769,6.5731,5.7056
-3.6602,-21.682,6.5931,5.7176
-4.06,-22.596,6.6118,5.7289
-4.4581,-23.512,6.6269,5.7401
-4.8544,-24.428,6.6393,5.7494
-5.2487,-25.345,6.6513,5.7584
-5.641,-26.264,6.6604,5.7671
-6.0311,-27.183,6.6673,5.7747
-6.4191,-28.103,6.6691,5.7816
-6.8048,-29.025,6.6699,5.7865
-7.1884,-29.947,6.6715,5.7895
-7.5698,-30.871,6.6719,5.792
-7.9491,-31.796,6.671,5.7932
-8.3263,-32.722,6.6693,5.7948
-8.7016,-33.65,6.6671,5.8089
-9.0752,-34.579,6.6638,5.8189
-9.447,-35.51,6.6589,5.8305
-9.8174,-36.443,6.6538,5.8409
-10.186,-37.377,6.6496,5.8498
-10.554,-38.314,6.6462,5.8589
-10.921,-39.252,6.6413,5.866
-11.286,-40.192,6.6353,5.8722
-11.651,-41.133,6.6297,5.8759
-12.014,-42.076,6.6246,5.879
-12.377,-43.019,6.6147,5.8811
-12.739,-43.963,6.6042,5.882
-13.1,-44.908,6.5936,5.8837
-13.461,-45.853,6.5795,5.8854
-13.82,-46.798,6.567,5.8858
-14.179,-47.742,6.5526,5.8851
-14.536,-48.685,6.5376,5.8823
-14.893,-49.627,6.5235,5.8771
-15.249,-50.567,6.5105,5.8685
-15.604,-51.507,6.4989,5.8567
-15.957,-52.444,6.4894,5.8433
-16.31,-53.38,6.4802,5.8288
-16.661,-54.315,6.4738,5.8124
-17.011,-55.248,6.4659,5.7953
-17.36,-56.18,6.4555,5.7754
-17.708,-57.111,6.4471,5.7542
-18.055,-58.042,6.4374,5.732
-18.4,-58.973,6.4268,5.709
-18.745,-59.904,6.4155,5.6859
-19.088,-60.835,6.4039,5.6626
-19.43,-61.767,6.3909,5.6391
-19.771,-62.7,6.3754,5.6162
-20.111,-63.635,6.3556,5.5938
-20.449,-64.57,6.334,5.5703
-20.786,-65.507,6.3122,5.5459
-21.121,-66.446,6.2878,5.5222
-21.455,-67.386,6.2635,5.498
-21.788,-68.327,6.2365,5.4729
-22.118,-69.269,6.2072,5.4473
-22.447,-70.212,6.1769,5.4209
-22.773,-71.156,6.1437,5.3939
-23.098,-72.101,6.1113,5.3649
-23.42,-73.047,6.0794,5.3348
-23.741,-73.994,6.0484,5.305
-24.058,-74.941,6.0187,5.2749
-24.374,-75.888,5.9892,5.2441
-24.687,-76.837,5.96,5.2132
-24.998,-77.786,5.9319,5.1826
-25.306,-78.735,5.9031,5.153
-25.612,-79.686,5.8754,5.1239
-25.916,-80.637,5.8501,5.0959
-26.217,-81.589,5.8241,5.0702
-26.516,-82.542,5.7972,5.0458
-26.812,-83.495,5.7701,5.0219
-27.105,-84.45,5.7436,4.9994
-27.397,-85.405,5.7132,4.9783
-27.686,-86.361,5.6801,4.9581
-27.972,-87.318,5.6477,4.9378
-28.257,-88.275,5.6135,4.9191
-28.539,-89.234,5.5811,4.9008
-28.818,-90.193,5.5508,4.8829
-29.096,-91.152,5.5237,4.8677
-29.372,-92.113,5.4999,4.8529
-29.646,-93.074,5.4766,4.8384
-29.917,-94.037,5.4581,4.8255
-30.187,-95,5.4419,4.8146
-30.455,-95.964,5.4262,4.802
-30.721,-96.929,5.414,4.7894
-30.985,-97.895,5.4038,4.779
-31.247,-98.861,5.3924,4.7692
-31.508,-99.829,5.3804,4.7608
-31.766,-100.8,5.3705,4.7538
-32.023,-101.77,5.3628,4.7468
-32.277,-102.73,5.3569,4.7398
-32.529,-103.7,5.3499,4.7347
-32.78,-104.67,5.3432,4.7302
-33.027,-105.64,5.3386,4.7259
-33.273,-106.61,5.3354,4.7232
-33.516,-107.58,5.3319,4.7205
-33.756,-108.55,5.3294,4.7176
-33.993,-109.52,5.3294,4.7151
-34.227,-110.49,5.3327,4.7125
-34.458,-111.46,5.3381,4.7099
-34.686,-112.43,5.3437,4.7074
-34.91,-113.4,5.3519,4.7044
-35.131,-114.37,5.3594,4.7
-35.347,-115.35,5.371,4.6954
-35.559,-116.32,5.3822,4.6913
-35.767,-117.29,5.3942,4.6857
-35.97,-118.27,5.4065,4.6802
-36.168,-119.24,5.4172,4.6766
-36.361,-120.22,5.4277,4.6742
-36.549,-121.2,5.4377,4.6715
-36.731,-122.18,5.4471,4.6709
-36.908,-123.16,5.4595,4.675
-37.078,-124.15,5.4746,4.6846
-37.242,-125.13,5.49,4.6986
-37.401,-126.12,5.5062,4.7181
-37.553,-127.11,5.5272,4.7443
-37.699,-128.1,5.5499,4.7774
-37.838,-129.09,5.5764,4.8182
-37.972,-130.08,5.6056,4.8699
-38.099,-131.07,5.638,4.9314
-38.221,-132.06,5.6738,5.0035
-38.338,-133.06,5.7128,5.0844
-38.45,-134.05,5.7583,5.1726
-38.556,-135.05,5.8028,5.2678
-38.659,-136.04,5.8492,5.3687
-38.758,-137.04,5.901,5.4727
-38.853,-138.03,5.9488,5.5798
-38.946,-139.03,5.9964,5.6866
-39.036,-140.02,6.0451,5.79
-39.125,-141.02,6.0939,5.8902
-39.212,-142.02,6.1395,5.9875
